time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,5,5,18,14
2026-05-26 00:00:00+00:00,4,2,14,12
2026-05-27 00:00:00+00:00,9,6,22,8
2026-05-28 00:00:00+00:00,10,10,33,11
2026-05-29 00:00:00+00:00,7,6,14,9
2026-05-30 00:00:00+00:00,4,1,18,13
2026-05-31 00:00:00+00:00,3,3,15,8
2026-06-01 00:00:00+00:00,4,3,34,8
2026-06-02 00:00:00+00:00,2,2,17,8
2026-06-03 00:00:00+00:00,8,8,84,9
2026-06-04 00:00:00+00:00,2,2,40,6
2026-06-05 00:00:00+00:00,4,3,21,10
2026-06-06 00:00:00+00:00,6,4,25,10
2026-06-07 00:00:00+00:00,2,2,35,13
2026-06-08 00:00:00+00:00,20,15,20,11
2026-06-09 00:00:00+00:00,17,8,60,12
2026-06-10 00:00:00+00:00,27,12,286,127
2026-06-11 00:00:00+00:00,23,11,220,65
2026-06-12 00:00:00+00:00,50,17,59,17
2026-06-13 00:00:00+00:00,24,14,35,19
2026-06-14 00:00:00+00:00,23,11,42,15
2026-06-15 00:00:00+00:00,23,11,80,17
2026-06-16 00:00:00+00:00,26,9,27,12
2026-06-17 00:00:00+00:00,21,8,5,5
2026-06-18 00:00:00+00:00,22,9,77,8
2026-06-19 00:00:00+00:00,15,9,136,12
2026-06-20 00:00:00+00:00,25,9,53,7
2026-06-21 00:00:00+00:00,14,8,46,11
2026-06-22 00:00:00+00:00,4,4,14,7
2026-06-23 00:00:00+00:00,20,9,31,15
2026-06-24 00:00:00+00:00,11,5,40,14
2026-06-25 00:00:00+00:00,15,9,30,9
2026-06-26 00:00:00+00:00,17,7,19,9
2026-06-27 00:00:00+00:00,29,12,96,10
